Private Entity,External URI,Confidence
:Microsoft,wd:Q2283,0.95
:REDMOND,wd:Q223718,0.95
:Wash.,wd:Q777403,0.8
:Santa_Monica,wd:Q47164,0.95
:Calif.,wd:Q99,0.8
:Jan._18%2C_2022,Not Found,0.0
:today,wd:Q3530234,0.95
:Today,wd:Q3530234,0.95
:Microsoft_Corp.,wd:Q2283,0.8
:MSFT,wd:Q1406,0.8
:Activision_Blizzard_Inc.,Not Found,0.0
:Nasdaq,wd:Q82059,0.95
:ATVI,wd:Q271340,0.8
:Activision_Blizzard,wd:Q344341,0.95
:Activision_Blizzard%E2%80%99s,wd:Q28035246,0.8
:Tencent,wd:Q860580,0.95
:Sony,wd:Q41187,0.8
:Activision,wd:Q200491,0.95
:Blizzard,wd:Q178824,0.8
:King,wd:Q535214,0.95
:Warcraft,wd:Q6156907,0.95
:Diablo,wd:Q220960,0.95
:Major_League_Gaming,wd:Q1320732,0.95
:Bobby_Kotick,wd:Q4117176,0.95
:Phil_Spencer,wd:Q16734485,0.95
:Microsoft_Gaming,wd:Q117536672,0.95
:Satya_Nadella,wd:Q7426870,0.95
:more_than_30_years,wd:Q85246680,0.8
:IBM,wd:Q37156,0.95
:HashiCorp%2C_Inc.,Not Found,0.0
:ARMONK,wd:Q688830,0.95
:N.Y.,wd:Q60,0.8
:SAN_FRANCISCO,wd:Q62,0.95
:April_24%2C_2024,wd:Q69307148,0.95
:HashiCorp_Inc.,Not Found,0.0
:HCP,wd:Q689912,0.8
:HashiCorp,wd:Q21463167,0.95
:Arvind_Krishna,wd:Q102303263,0.95
:Armon_Dadgar,wd:Q65554751,0.95
:Oracle_Corporation,wd:Q19900,0.95
:ORCL,wd:Q19900,0.8
:Cerner_Corporation,wd:Q1055390,0.8
:Oracle,wd:Q19900,0.8
:Cerner,wd:Q107287992,0.95
:Larry_Ellison,wd:Q92759,0.95
:the_first_full_fiscal_year,Not Found,0.0
:the_second_fiscal_year,Not Found,0.0
:Safra_Catz,wd:Q450628,0.95
:Healthcare,wd:Q31207,0.8
:last_year,wd:Q122354104,0.95
:the_United_States,wd:Q30,0.8
:this_year,wd:Q124160258,0.95
:years,wd:Q24564698,0.8
:NetSuite,wd:Q4045248,0.95
:David_Feinberg,wd:Q113509496,0.95
:Industry_Business_Unit,Not Found,0.0
:Kansas_City,wd:Q41819,0.95
:Mike_Sicilia,Not Found,0.0
:Vertical_Industries,Not Found,0.0
:AMD,wd:Q128896,0.95
:SANTA_CLARA,wd:Q159260,0.95
:Feb._14%2C_2022,Not Found,0.0
:GLOBE_NEWSWIRE,Not Found,0.0
:NASDAQ,wd:Q82059,0.95
:Xilinx,wd:Q1046482,0.95
:October_27%2C_2020,wd:Q57396950,0.95
:the_first_year,wd:Q54121449,0.95
:Lisa_Su,wd:Q18207172,0.95
:Victor_Peng,wd:Q55637095,0.8
:Adaptive_and_Embedded_Computing_Group,Not Found,0.0
:AECG,wd:Q1121969,0.8
:FPGA,wd:Q190411,0.8
:more_than_50_years,wd:Q41697726,0.8
:daily,wd:Q86,0.8
:Anthropic,wd:Q116758847,0.95
:AWS,wd:Q456157,0.8
:Amazon_Bedrock,wd:Q124052638,0.95
:Amazon,wd:Q3884,0.95
:Andy_Jassy,wd:Q41812531,0.95
:Dario_Amodei,wd:Q103335665,0.95
:April,wd:Q621915,0.95
:Claude,wd:Q17523984,0.95
:quarterly,wd:Q19378483,0.8
:Q3,wd:Q3,0.8
:year_ago,wd:Q1659525,0.8
:full-year,wd:Q57305223,0.8
:NVIDIA,wd:Q182477,0.95
:NVDA,wd:Q1116614,0.8
:the_fourth_quarter_ended_January_28%2C_2024,Not Found,0.0
:the_previous_quarter,Not Found,0.0
:a_year_ago,wd:Q1659525,0.8
:the_quarter,wd:Q2367751,0.8
:GAAP,wd:Q1779838,0.8
:fiscal_2024,Not Found,0.0
:Jensen_Huang,wd:Q305177,0.95
:less_than_six_years_ago,Not Found,0.0
:The_year_ahead,wd:Q122929765,0.95
:next_month%E2%80%99s,Not Found,0.0
:GTC,wd:Q59973,0.8
:March_27%2C_2024,wd:Q69307118,0.95
:March_6%2C_2024,wd:Q69307097,0.95
:Q4_Fiscal_2024,Not Found,0.0
:Q4_FY24,Not Found,0.0
:Q3_FY24,Not Found,0.0
:Q4_FY23,Not Found,0.0
:Q/Q,wd:Q9950,0.95
:Y/Y,Not Found,0.0
